Round,AvgAccuracy,AvgLoss
1,0.17000000000000004,1.7710281491279602
2,0.3700000000000001,1.7345089554786681
3,0.35000000000000014,1.7086824357509613
4,0.32000000000000006,1.7297608494758605
5,0.39000000000000007,1.6631306111812592
6,0.3600000000000001,1.6222971200942993
7,0.43000000000000005,1.5470795512199402
8,0.54,1.4079451441764832
9,0.45,1.4653651356697082
10,0.4999999999999999,1.3835748493671418
11,0.6800000000000002,1.2409821286797524
12,0.74,1.1859839528799057
13,0.7000000000000001,1.2354509651660919
14,0.7100000000000001,1.1516026929020882
15,0.7500000000000002,1.063476525247097
16,0.73,1.0473051100969315
17,0.8000000000000002,0.8623114302754402
18,0.7300000000000001,1.0452846318483353
19,0.7,1.1090112701058388
20,0.72,1.0509425222873687
