Client,Round,Accuracy,Loss
0,1,0.24,1.7551968097686768
1,1,0.12,1.7685104608535767
2,1,0.2,1.7555334568023682
3,1,0.1,1.7858067750930786
4,1,0.18,1.7497742176055908
5,1,0.08,1.8301527500152588
6,1,0.16,1.7929219007492065
7,1,0.14,1.804330587387085
8,1,0.24,1.7406202554702759
9,1,0.1,1.7677741050720215
10,1,0.18,1.74503493309021
11,1,0.14,1.8066145181655884
12,1,0.2,1.7491157054901123
13,1,0.28,1.721716046333313
14,1,0.2,1.7950013875961304
15,1,0.18,1.754123568534851
16,1,0.26,1.7671769857406616
17,1,0.18,1.7665088176727295
18,1,0.18,1.7997912168502808
19,1,0.22,1.7980722188949585
0,2,0.2,1.8328860998153687
1,2,0.18,1.7989143133163452
2,2,0.18,1.8628157377243042
3,2,0.18,1.8334321975708008
4,2,0.12,1.8697808980941772
5,2,0.16,1.8169676065444946
6,2,0.2,1.789507269859314
7,2,0.14,1.8266676664352417
8,2,0.12,1.8320229053497314
9,2,0.24,1.7354365587234497
10,2,0.12,1.8500382900238037
11,2,0.18,1.7303849458694458
12,2,0.18,1.8254821300506592
13,2,0.14,1.8521264791488647
14,2,0.16,1.8393522500991821
15,2,0.18,1.8228477239608765
16,2,0.2,1.8414928913116455
17,2,0.28,1.7962695360183716
18,2,0.1,1.8583720922470093
19,2,0.2,1.8105943202972412
0,3,0.12,1.806003451347351
1,3,0.12,1.8395705223083496
2,3,0.14,1.8231582641601562
3,3,0.16,1.8099533319473267
4,3,0.18,1.8292298316955566
5,3,0.1,1.8280000686645508
6,3,0.18,1.8020377159118652
7,3,0.32,1.7756074666976929
8,3,0.18,1.8040876388549805
9,3,0.1,1.806942343711853
10,3,0.12,1.8252662420272827
11,3,0.18,1.8206219673156738
12,3,0.2,1.789474368095398
13,3,0.22,1.7859529256820679
14,3,0.08,1.8161276578903198
15,3,0.22,1.8104302883148193
16,3,0.14,1.8420873880386353
17,3,0.12,1.8172160387039185
18,3,0.1,1.8360049724578857
19,3,0.14,1.8218246698379517
0,4,0.18,1.7737548351287842
1,4,0.22,1.792885184288025
2,4,0.16,1.7932254076004028
3,4,0.2,1.7730923891067505
4,4,0.22,1.7644996643066406
5,4,0.26,1.7819305658340454
6,4,0.18,1.7844030857086182
7,4,0.08,1.8225747346878052
8,4,0.12,1.8132127523422241
9,4,0.32,1.7848492860794067
10,4,0.22,1.7812931537628174
11,4,0.18,1.7807555198669434
12,4,0.2,1.7753074169158936
13,4,0.12,1.8165223598480225
14,4,0.24,1.7761359214782715
15,4,0.2,1.7991832494735718
16,4,0.26,1.7778451442718506
17,4,0.2,1.7954888343811035
18,4,0.16,1.7830123901367188
19,4,0.18,1.8113805055618286
0,5,0.22,1.760382056236267
1,5,0.24,1.7535244226455688
2,5,0.14,1.817070722579956
3,5,0.12,1.7666678428649902
4,5,0.3,1.7448772192001343
5,5,0.28,1.7666321992874146
6,5,0.26,1.7678970098495483
7,5,0.26,1.7511482238769531
8,5,0.14,1.7752108573913574
9,5,0.12,1.7816563844680786
10,5,0.16,1.7852721214294434
11,5,0.28,1.7641607522964478
12,5,0.22,1.755984902381897
13,5,0.34,1.7365429401397705
14,5,0.22,1.7609617710113525
15,5,0.22,1.7698886394500732
16,5,0.1,1.7656954526901245
17,5,0.16,1.7924799919128418
18,5,0.26,1.7258495092391968
19,5,0.16,1.8057235479354858
0,6,0.28,1.7158253192901611
1,6,0.18,1.7382049560546875
2,6,0.22,1.7780876159667969
3,6,0.3,1.7559666633605957
4,6,0.26,1.7354885339736938
5,6,0.14,1.7330422401428223
6,6,0.16,1.753576397895813
7,6,0.14,1.7534167766571045
8,6,0.2,1.759371280670166
9,6,0.1,1.757021427154541
10,6,0.24,1.7128039598464966
11,6,0.18,1.731025218963623
12,6,0.1,1.791587471961975
13,6,0.28,1.7341952323913574
14,6,0.2,1.7321460247039795
15,6,0.1,1.7284643650054932
16,6,0.14,1.7822108268737793
17,6,0.12,1.800420880317688
18,6,0.22,1.750095248222351
19,6,0.26,1.7529300451278687
0,7,0.2,1.7324316501617432
1,7,0.32,1.708725929260254
2,7,0.2,1.7393678426742554
3,7,0.14,1.7062771320343018
4,7,0.12,1.7550671100616455
5,7,0.14,1.7401628494262695
6,7,0.14,1.7514663934707642
7,7,0.2,1.7279233932495117
8,7,0.16,1.7576779127120972
9,7,0.2,1.7348757982254028
10,7,0.28,1.7554975748062134
11,7,0.22,1.7375930547714233
12,7,0.08,1.7991982698440552
13,7,0.18,1.6645625829696655
14,7,0.1,1.745984673500061
15,7,0.18,1.7573699951171875
16,7,0.18,1.7418211698532104
17,7,0.28,1.709687352180481
18,7,0.16,1.749294400215149
19,7,0.22,1.7252007722854614
0,8,0.26,1.7305727005004883
1,8,0.26,1.725554347038269
2,8,0.3,1.7091927528381348
3,8,0.2,1.7340141534805298
4,8,0.08,1.7538021802902222
5,8,0.22,1.704351782798767
6,8,0.16,1.7174835205078125
7,8,0.22,1.7684382200241089
8,8,0.26,1.7116007804870605
9,8,0.18,1.7356529235839844
10,8,0.18,1.722487449645996
11,8,0.16,1.725684404373169
12,8,0.2,1.7053031921386719
13,8,0.16,1.743292212486267
14,8,0.2,1.7142285108566284
15,8,0.14,1.7086155414581299
16,8,0.14,1.7657867670059204
17,8,0.34,1.7126580476760864
18,8,0.18,1.7350605726242065
19,8,0.16,1.7554337978363037
0,9,0.24,1.7121703624725342
1,9,0.14,1.6960906982421875
2,9,0.12,1.7285432815551758
3,9,0.28,1.651004433631897
4,9,0.24,1.676024317741394
5,9,0.26,1.7075142860412598
6,9,0.32,1.6687836647033691
7,9,0.2,1.6951922178268433
8,9,0.2,1.7035417556762695
9,9,0.16,1.7241188287734985
10,9,0.24,1.7336196899414062
11,9,0.14,1.7450414896011353
12,9,0.3,1.6592803001403809
13,9,0.16,1.7323323488235474
14,9,0.14,1.7490408420562744
15,9,0.2,1.7039295434951782
16,9,0.22,1.7100273370742798
17,9,0.28,1.7005892992019653
18,9,0.12,1.756048560142517
19,9,0.22,1.6896331310272217
0,10,0.28,1.6478663682937622
1,10,0.32,1.6850069761276245
2,10,0.22,1.6605002880096436
3,10,0.2,1.6979820728302002
4,10,0.24,1.6372158527374268
5,10,0.16,1.7458070516586304
6,10,0.2,1.7264928817749023
7,10,0.18,1.686043381690979
8,10,0.16,1.6820526123046875
9,10,0.2,1.686610221862793
10,10,0.2,1.7175213098526
11,10,0.26,1.6460665464401245
12,10,0.22,1.6892707347869873
13,10,0.18,1.6835042238235474
14,10,0.14,1.7318816184997559
15,10,0.14,1.7553154230117798
16,10,0.2,1.681321620941162
17,10,0.3,1.647731900215149
18,10,0.2,1.7290358543395996
19,10,0.24,1.7063449621200562
0,11,0.16,1.6770029067993164
1,11,0.32,1.6560786962509155
2,11,0.26,1.6354973316192627
3,11,0.22,1.6980401277542114
4,11,0.14,1.77019464969635
5,11,0.16,1.679550290107727
6,11,0.22,1.7026429176330566
7,11,0.1,1.7512176036834717
8,11,0.12,1.7410666942596436
9,11,0.18,1.7064203023910522
10,11,0.18,1.6588568687438965
11,11,0.12,1.6905018091201782
12,11,0.18,1.7187702655792236
13,11,0.16,1.7160688638687134
14,11,0.26,1.6944295167922974
15,11,0.32,1.6174368858337402
16,11,0.26,1.762058973312378
17,11,0.2,1.7068266868591309
18,11,0.22,1.6528725624084473
19,11,0.24,1.6516354084014893
0,12,0.2,1.748461127281189
1,12,0.28,1.672389030456543
2,12,0.2,1.7027171850204468
3,12,0.18,1.715293526649475
4,12,0.14,1.7326819896697998
5,12,0.08,1.7083120346069336
6,12,0.2,1.6776443719863892
7,12,0.3,1.6358140707015991
8,12,0.14,1.6912075281143188
9,12,0.22,1.6845626831054688
10,12,0.28,1.6416550874710083
11,12,0.14,1.7200698852539062
12,12,0.22,1.6877812147140503
13,12,0.24,1.6609582901000977
14,12,0.2,1.7119404077529907
15,12,0.18,1.6921275854110718
16,12,0.16,1.7248080968856812
17,12,0.26,1.6558141708374023
18,12,0.3,1.635583519935608
19,12,0.2,1.6605616807937622
0,13,0.24,1.6626538038253784
1,13,0.2,1.7436010837554932
2,13,0.24,1.7337268590927124
3,13,0.22,1.6980384588241577
4,13,0.22,1.6808600425720215
5,13,0.2,1.669447898864746
6,13,0.28,1.6795960664749146
7,13,0.28,1.6630151271820068
8,13,0.24,1.686747431755066
9,13,0.34,1.6305710077285767
10,13,0.12,1.7364037036895752
11,13,0.16,1.6825661659240723
12,13,0.22,1.6939822435379028
13,13,0.28,1.6577061414718628
14,13,0.12,1.6965718269348145
15,13,0.16,1.7074196338653564
16,13,0.22,1.6759895086288452
17,13,0.16,1.705327033996582
18,13,0.24,1.639223337173462
19,13,0.08,1.753793478012085
0,14,0.38,1.6974486112594604
1,14,0.34,1.63767671585083
