Round,AvgAccuracy,AvgLoss
1,0.29000000000000004,1.7712022960186005
2,0.43,1.7518691539764404
3,0.39,1.7107847809791565
4,0.36000000000000004,1.6565482556819915
5,0.41,1.5338609576225282
6,0.36000000000000004,1.5894976913928986
7,0.5,1.2870653450489045
8,0.53,1.091313934326172
9,0.7000000000000001,0.7979661285877228
10,0.8000000000000002,0.7697166904807091
11,0.9400000000000001,0.5445095889270306
12,0.99,0.3549196932464838
13,0.9600000000000002,0.34101675227284434
14,0.9800000000000001,0.19898969903588296
15,0.9600000000000002,0.1991900024935603
16,0.9700000000000001,0.1464683197438717
17,0.96,0.1617812511511147
18,0.99,0.08462865706533193
19,0.97,0.1498757254332304
20,0.99,0.06535821314901114
