Client,Round,Accuracy,Loss
0,1,0.18,1.8108373880386353
1,1,0.38,1.730486273765564
2,1,0.14,1.8172154426574707
3,1,0.48,1.7014803886413574
4,1,0.14,1.8111425638198853
5,1,0.1,1.8141586780548096
6,1,0.5,1.6896202564239502
7,1,0.46,1.6981079578399658
8,1,0.4,1.7303571701049805
9,1,0.08,1.8113359212875366
10,1,0.12,1.8197941780090332
11,1,0.52,1.6742291450500488
12,1,0.28,1.7285609245300293
13,1,0.18,1.821049690246582
14,1,0.3,1.7230607271194458
15,1,0.26,1.7403576374053955
16,1,0.4,1.7049888372421265
17,1,0.4,1.738864541053772
18,1,0.08,1.8253897428512573
19,1,0.28,1.7329941987991333
0,2,0.08,1.895003080368042
1,2,0.08,1.9483379125595093
2,2,0.08,1.8813151121139526
3,2,0.12,1.8799889087677002
4,2,0.12,1.83943510055542
5,2,0.16,1.8572523593902588
6,2,0.1,1.875594139099121
7,2,0.12,1.9034503698349
8,2,0.12,1.8705193996429443
9,2,0.12,1.8643497228622437
10,2,0.2,1.8488388061523438
11,2,0.18,1.8372265100479126
12,2,0.06,1.8714532852172852
13,2,0.14,1.8304682970046997
14,2,0.42,1.6433799266815186
15,2,0.06,1.8745803833007812
16,2,0.1,1.90680730342865
17,2,0.24,1.719425082206726
18,2,0.18,1.8348544836044312
19,2,0.1,1.8948386907577515
0,3,0.18,1.8412108421325684
1,3,0.14,1.8444695472717285
2,3,0.08,1.8918507099151611
3,3,0.14,1.841436505317688
4,3,0.16,1.8160444498062134
5,3,0.08,1.8343963623046875
6,3,0.24,1.7899651527404785
7,3,0.1,1.8451435565948486
8,3,0.1,1.8597145080566406
9,3,0.1,1.8626447916030884
10,3,0.22,1.8252214193344116
11,3,0.18,1.847556471824646
12,3,0.08,1.8993759155273438
13,3,0.1,1.8498351573944092
14,3,0.06,1.8806617259979248
15,3,0.14,1.8917492628097534
16,3,0.18,1.7879970073699951
17,3,0.18,1.8511936664581299
18,3,0.26,1.8237773180007935
19,3,0.2,1.7919557094573975
0,4,0.24,1.7635514736175537
1,4,0.2,1.767243504524231
2,4,0.18,1.83168363571167
3,4,0.24,1.808708906173706
4,4,0.12,1.7866945266723633
5,4,0.12,1.8070966005325317
6,4,0.2,1.7552940845489502
7,4,0.08,1.7977006435394287
8,4,0.14,1.8125979900360107
9,4,0.2,1.784631609916687
10,4,0.14,1.8240118026733398
11,4,0.04,1.795403242111206
12,4,0.14,1.8316525220870972
13,4,0.14,1.825942873954773
14,4,0.28,1.7850031852722168
15,4,0.22,1.7689614295959473
16,4,0.18,1.8030369281768799
17,4,0.14,1.8148671388626099
18,4,0.12,1.7878459692001343
19,4,0.2,1.800581693649292
