Client,Round,Accuracy,Loss
0,1,0.34,1.712976098060608
1,1,0.08,1.8515352010726929
2,1,0.1,1.8120733499526978
3,1,0.3,1.7439277172088623
4,1,0.32,1.7286702394485474
5,1,0.42,1.6757538318634033
6,1,0.32,1.7097609043121338
7,1,0.36,1.7318209409713745
8,1,0.44,1.6780046224594116
9,1,0.38,1.7071130275726318
10,1,0.28,1.726922869682312
11,1,0.24,1.726311206817627
12,1,0.2,1.8023724555969238
13,1,0.36,1.7241381406784058
14,1,0.1,1.8252744674682617
15,1,0.3,1.7062455415725708
16,1,0.38,1.696260690689087
17,1,0.32,1.7087202072143555
18,1,0.34,1.7141493558883667
19,1,0.1,1.8196709156036377
0,2,0.16,1.7946606874465942
1,2,0.14,1.807248830795288
2,2,0.14,1.7992923259735107
3,2,0.16,1.8408379554748535
4,2,0.18,1.8105683326721191
5,2,0.1,1.8525891304016113
6,2,0.14,1.8112404346466064
7,2,0.4,1.695579171180725
8,2,0.04,1.8491604328155518
9,2,0.2,1.7923649549484253
10,2,0.26,1.6995185613632202
11,2,0.18,1.8000540733337402
12,2,0.06,1.8845908641815186
13,2,0.3,1.708259105682373
14,2,0.12,1.8195990324020386
15,2,0.14,1.834689736366272
16,2,0.22,1.796949863433838
17,2,0.12,1.8293858766555786
18,2,0.08,1.8214303255081177
19,2,0.1,1.8352316617965698
0,3,0.18,1.8057186603546143
1,3,0.24,1.7427939176559448
2,3,0.12,1.8217509984970093
3,3,0.12,1.8635112047195435
4,3,0.16,1.8031680583953857
5,3,0.22,1.7902510166168213
6,3,0.12,1.7968952655792236
7,3,0.16,1.7797367572784424
8,3,0.12,1.836653470993042
9,3,0.3,1.7562153339385986
10,3,0.1,1.868117094039917
11,3,0.02,1.807214379310608
12,3,0.14,1.7972842454910278
13,3,0.06,1.868410587310791
14,3,0.18,1.816109299659729
15,3,0.08,1.8127670288085938
16,3,0.28,1.7582303285598755
17,3,0.22,1.820359706878662
18,3,0.1,1.8472371101379395
19,3,0.06,1.854702115058899
0,4,0.14,1.795536756515503
1,4,0.18,1.7733722925186157
2,4,0.16,1.8064675331115723
3,4,0.16,1.785260796546936
4,4,0.12,1.797715663909912
5,4,0.12,1.7938553094863892
6,4,0.08,1.8171156644821167
7,4,0.14,1.7878119945526123
8,4,0.16,1.7922035455703735
9,4,0.14,1.792524814605713
10,4,0.18,1.770410418510437
11,4,0.14,1.8152313232421875
12,4,0.24,1.7849547863006592
13,4,0.16,1.7776967287063599
14,4,0.16,1.7978521585464478
15,4,0.18,1.7957863807678223
16,4,0.16,1.7691254615783691
17,4,0.32,1.7791160345077515
18,4,0.16,1.7796177864074707
19,4,0.04,1.7988708019256592
0,5,0.2,1.7982434034347534
1,5,0.18,1.753732442855835
2,5,0.1,1.7832176685333252
3,5,0.14,1.7610690593719482
4,5,0.18,1.7483540773391724
5,5,0.2,1.771149754524231
6,5,0.16,1.7768406867980957
7,5,0.28,1.7386796474456787
8,5,0.16,1.7674777507781982
9,5,0.22,1.7571827173233032
10,5,0.22,1.7558112144470215
11,5,0.16,1.7833950519561768
12,5,0.12,1.7887253761291504
13,5,0.14,1.79091477394104
14,5,0.34,1.7225266695022583
15,5,0.1,1.7764779329299927
16,5,0.2,1.7609821557998657
17,5,0.14,1.774895191192627
18,5,0.16,1.754820704460144
19,5,0.32,1.7278344631195068
