Round,AvgAccuracy,AvgLoss
1,0.18000000000000005,1.7662211179733276
2,0.46000000000000013,1.751972073316574
3,0.45000000000000007,1.6879935264587402
4,0.33,1.6513702273368835
5,0.32000000000000006,1.6801222443580628
6,0.4200000000000001,1.5361291706562041
7,0.51,1.3396282941102982
8,0.56,1.1424262553453446
9,0.5900000000000001,1.0391731187701225
10,0.8200000000000003,0.7005496963858604
11,0.93,0.5361148066818714
12,0.9400000000000001,0.4303234353661537
13,0.9400000000000001,0.376874864846468
14,0.97,0.26231105290353296
15,0.97,0.21079055331647395
16,0.9800000000000001,0.20139231532812119
17,0.9700000000000001,0.1488247686997056
18,0.9700000000000001,0.27643718710169196
19,0.9800000000000001,0.14111393876373768
20,0.99,0.08575538750737906
21,0.9800000000000001,0.0992423485033214
22,0.9700000000000001,0.09955201912671327
23,0.9600000000000002,0.13675278834998608
24,0.9400000000000001,0.23237782223150133
25,0.9700000000000001,0.120628179050982
26,1.0,0.05350293512456119
27,0.9700000000000001,0.14542614987585695
28,0.9800000000000001,0.06068950747139752
29,1.0,0.03149322173558176
30,1.0,0.030094737955369055
