Round,AvgAccuracy,AvgLoss
1,0.15000000000000002,1.7913330018520355
2,0.14000000000000004,1.797573161125183
3,0.18,1.7970119714736938
4,0.16000000000000003,1.7877973914146423
5,0.20000000000000004,1.7862076342105866
6,0.12000000000000002,1.7821013391017915
7,0.16000000000000006,1.7941274344921112
8,0.23000000000000004,1.755510288476944
9,0.14,1.7876548051834107
10,0.13000000000000003,1.7639573216438293
11,0.21000000000000002,1.766335129737854
12,0.18000000000000005,1.756163239479065
13,0.16999999999999998,1.7554680287837983
14,0.21000000000000005,1.7666147291660308
15,0.20000000000000004,1.7136027932167053
16,0.17000000000000004,1.7591178178787232
17,0.18000000000000005,1.7552380025386811
18,0.18,1.7179104149341584
19,0.19,1.7333533108234405
20,0.2600000000000001,1.7103766202926636
