Round,AvgAccuracy,AvgLoss
1,0.26000000000000006,1.7812692463397979
2,0.33,1.7659362435340882
3,0.37000000000000005,1.7097998797893523
4,0.3500000000000001,1.725673633813858
5,0.41000000000000003,1.6259796380996705
6,0.4800000000000001,1.4933196783065796
7,0.52,1.3630883336067199
8,0.5,1.2397751808166504
9,0.51,1.1961759954690934
10,0.72,0.8549491733312606
11,0.8699999999999999,0.6196340620517731
12,0.89,0.5691599331796169
13,0.9600000000000002,0.32023289501667024
14,0.96,0.2832319889217615
15,0.9600000000000002,0.1928214829415083
16,1.0,0.1326822467148304
17,0.9700000000000001,0.17621052283793687
18,0.9500000000000002,0.1896903680637479
19,0.9800000000000001,0.12736905105412005
20,0.9800000000000001,0.13313449136912822
