round,accuracy,loss
1,0.2,1.7827004790306091
2,0.26666666666666666,1.7878369688987732
3,0.4,1.789773941040039
4,0.13333333333333333,1.7952417135238647
5,0.3,1.7979173064231873
6,0.2,1.7826884388923645
7,0.06666666666666667,1.7882806658744812
8,0.06666666666666667,1.7911988496780396
9,0.06666666666666667,1.7998547554016113
10,0.2,1.7991744875907898
11,0.4,1.7770629525184631
12,0.2,1.7995450496673584
13,0.3,1.7864702343940735
14,0.4,1.7821807861328125
15,0.30000000000000004,1.7795085310935974
16,0.33333333333333337,1.7762243747711182
17,0.26666666666666666,1.7936017513275146
18,0.4,1.7610759139060974
19,0.26666666666666666,1.7431197762489319
20,0.16666666666666666,1.7808438539505005
21,0.26666666666666666,1.776404619216919
22,0.23333333333333334,1.8051607012748718
23,0.13333333333333333,1.7898311018943787
24,0.23333333333333334,1.7696587443351746
25,0.2,1.7516796588897705
26,0.3,1.7207130789756775
27,0.26666666666666666,1.767593264579773
28,0.13333333333333333,1.78043931722641
29,0.16666666666666666,1.799461305141449
30,0.13333333333333333,1.782569408416748
31,0.23333333333333334,1.7549142837524414
32,0.06666666666666667,1.8111400604248047
33,0.2,1.7687392830848694
34,0.2,1.7482883930206299
35,0.13333333333333333,1.7997735142707825
36,0.1,1.7978438138961792
37,0.23333333333333334,1.7024246454238892
38,0.13333333333333333,1.7808034420013428
39,0.16666666666666669,1.7575995922088623
40,0.16666666666666669,1.8200607299804688
41,0.13333333333333333,1.7690733671188354
42,0.13333333333333333,1.803444743156433
43,0.13333333333333333,1.798709213733673
44,0.23333333333333334,1.8048334121704102
45,0.16666666666666669,1.8155204057693481
46,0.13333333333333333,1.764379858970642
47,0.2,1.703520655632019
48,0.16666666666666669,1.8065821528434753
49,0.13333333333333333,1.7878859639167786
50,0.13333333333333333,1.8719776272773743
51,0.16666666666666669,1.7904466390609741
52,0.2,1.7969238758087158
53,0.23333333333333334,1.7586455345153809
54,0.23333333333333334,1.7511482238769531
55,0.13333333333333333,1.8257375359535217
56,0.16666666666666666,1.7517082691192627
57,0.16666666666666669,1.8616228699684143
58,0.23333333333333334,1.79420667886734
59,0.2,1.7621978521347046
60,0.1,1.8507360816001892
61,0.13333333333333333,1.858554184436798
62,0.1,1.9046664237976074
63,0.1,1.8467304706573486
64,0.13333333333333333,1.8459569215774536
65,0.23333333333333334,1.786970317363739
66,0.1,1.8507940769195557
67,0.1,1.9469404816627502
68,0.16666666666666669,1.7298554182052612
69,0.16666666666666666,1.8155632615089417
70,0.26666666666666666,1.8094120621681213
71,0.33333333333333337,1.6460611820220947
72,0.1,1.8089848756790161
73,0.19999999999999998,1.7880048155784607
74,0.13333333333333333,1.813919186592102
75,0.16666666666666669,1.7675715684890747
76,0.13333333333333333,1.8192760944366455
77,0.23333333333333334,1.7151216864585876
78,0.16666666666666669,1.8327601552009583
79,0.13333333333333333,1.8373993635177612
80,0.16666666666666669,1.846031904220581
81,0.23333333333333334,1.7508221864700317
82,0.06666666666666667,1.873203456401825
83,0.1,1.863839328289032
84,0.13333333333333333,1.8511599898338318
85,0.23333333333333334,1.7368152141571045
86,0.23333333333333334,1.7924930453300476
87,0.1,1.8952746391296387
88,0.3,1.6620209217071533
89,0.16666666666666669,1.8149529099464417
90,0.2,1.840570330619812
91,0.2,1.769942581653595
92,0.16666666666666669,1.8215185403823853
93,0.2,1.7914986610412598
94,0.1,1.8642070889472961
95,0.13333333333333333,1.9186967611312866
96,0.13333333333333333,1.7959731817245483
97,0.13333333333333333,1.9575506448745728
98,0.16666666666666666,1.8126988410949707
99,0.1,1.96355140209198
100,0.16666666666666666,1.804996371269226
