Round,AvgAccuracy,AvgLoss
1,0.24000000000000007,1.7851635098457337
2,0.32,1.7625879228115082
3,0.39,1.7110220193862915
4,0.5,1.6308042764663697
5,0.5599999999999999,1.5358156085014343
6,0.49000000000000005,1.5358294010162354
7,0.45999999999999985,1.4508260518312455
8,0.51,1.2564861729741097
9,0.6100000000000001,1.1162555649876595
10,0.82,0.8061914548277855
11,0.9,0.6351829081773758
12,0.99,0.35576355196535586
13,0.96,0.33638431429862975
14,0.95,0.2987353134900331
15,0.97,0.19970028884708882
16,0.97,0.16527381744235753
17,0.9800000000000001,0.15028028097003698
18,0.9800000000000001,0.10073842387646437
19,0.9800000000000001,0.10108939278870821
20,0.9600000000000002,0.17118901638314127
