Round,AvgAccuracy,AvgLoss
1,0.13999999999999999,1.7895982325077058
2,0.29000000000000015,1.7763907074928285
3,0.24000000000000007,1.7769546329975128
4,0.25000000000000006,1.7527059495449067
5,0.22000000000000003,1.8252146363258361
6,0.26000000000000006,1.7810040593147278
7,0.34000000000000014,1.68988116979599
8,0.30000000000000004,1.750284731388092
9,0.33000000000000007,1.6803116083145142
10,0.3300000000000001,1.6788589596748351
11,0.45,1.6004221439361572
12,0.48,1.6016490042209626
13,0.53,1.5687283396720886
14,0.43,1.602957683801651
15,0.4600000000000001,1.582887476682663
16,0.45999999999999996,1.5731266170740128
17,0.43,1.6002925097942353
18,0.5700000000000001,1.4198799192905427
19,0.43000000000000005,1.602119517326355
20,0.44000000000000006,1.6045778572559357
