Client,Round,Accuracy,Loss
0,1,0.0,1.79034423828125
1,1,0.0,1.7676830291748047
2,1,0.2,1.7503554821014404
3,1,0.2,1.7568250894546509
4,1,0.0,1.7541656494140625
5,1,0.2,1.7364076375961304
6,1,0.0,1.7999099493026733
7,1,0.6,1.7357810735702515
8,1,0.2,1.788971185684204
9,1,0.6,1.7288532257080078
10,1,0.6,1.7232236862182617
11,1,0.0,1.7900375127792358
12,1,0.2,1.7489287853240967
13,1,0.0,1.7936069965362549
14,1,0.0,1.774383544921875
15,1,0.2,1.7833545207977295
16,1,0.2,1.7515993118286133
17,1,0.0,1.7867326736450195
18,1,0.2,1.7792866230010986
19,1,0.2,1.783972144126892
0,2,0.4,1.7828691005706787
1,2,0.2,1.7658268213272095
2,2,0.6,1.7829389572143555
3,2,0.6,1.6867024898529053
4,2,0.6,1.6980488300323486
5,2,0.6,1.7050113677978516
6,2,0.4,1.781267523765564
7,2,0.8,1.7304306030273438
8,2,0.2,1.7879196405410767
9,2,0.2,1.8121296167373657
10,2,0.2,1.8194386959075928
11,2,0.4,1.810014009475708
12,2,0.8,1.6670315265655518
13,2,0.4,1.7275540828704834
14,2,0.4,1.7494003772735596
15,2,0.4,1.7630093097686768
16,2,0.4,1.803133249282837
17,2,0.6,1.7042884826660156
18,2,0.6,1.691169023513794
19,2,0.4,1.771257758140564
0,3,0.8,1.5844085216522217
1,3,0.2,1.7874397039413452
2,3,0.2,1.649296522140503
3,3,0.4,1.7574306726455688
4,3,0.6,1.620847463607788
5,3,0.4,1.7782847881317139
6,3,0.8,1.5745251178741455
7,3,0.6,1.6022417545318604
8,3,0.6,1.6223688125610352
9,3,0.2,1.7471625804901123
10,3,0.8,1.6333649158477783
11,3,0.4,1.6292709112167358
12,3,0.4,1.6978155374526978
13,3,0.4,1.598127007484436
14,3,0.2,1.8698314428329468
15,3,0.4,1.6484712362289429
16,3,0.4,1.7613422870635986
17,3,0.4,1.7692409753799438
18,3,0.4,1.7325477600097656
19,3,0.4,1.695852518081665
0,4,0.0,1.8502403497695923
1,4,0.6,1.357792854309082
2,4,0.2,1.5446445941925049
3,4,0.8,1.3728846311569214
4,4,0.4,1.7708526849746704
5,4,0.2,1.803155541419983
6,4,0.0,1.8444560766220093
7,4,0.4,1.6271377801895142
8,4,0.4,1.7181408405303955
9,4,0.4,1.6157588958740234
10,4,0.2,1.6976410150527954
11,4,0.4,1.592729926109314
12,4,0.6,1.4796726703643799
13,4,0.2,1.7883208990097046
14,4,0.2,1.7292511463165283
15,4,0.6,1.5568894147872925
16,4,0.2,1.7309911251068115
17,4,0.2,1.755995750427246
18,4,0.2,1.6571792364120483
19,4,0.4,1.533669114112854
0,5,0.2,1.514743447303772
1,5,0.0,1.9109752178192139
