Round,AvgAccuracy,AvgLoss
1,0.15322033898305085,5.424845814704895
2,0.12406779661016949,5.516268157958985
3,0.02271186440677966,5.592587250471115
4,0.03983050847457627,5.610021781921387
5,0.06050847457627119,5.610347652435303
6,0.10050847457627117,5.594323629140854
7,0.05220338983050848,5.568545633554459
8,0.05288135593220338,5.588645434379577
9,0.12389830508474575,5.553687191009521
10,0.1506779661016949,5.566924095153809
11,0.16372881355932203,5.558840280771255
12,0.1664406779661017,5.560074174404145
13,0.16830508474576272,5.5498665273189545
14,0.1693220338983051,5.562677389383316
15,0.16728813559322034,5.559074449539184
16,0.16762711864406782,5.552394139766693
17,0.16491525423728814,5.541392654180527
18,0.1657627118644068,5.49895915389061
19,0.16627118644067798,5.513270974159241
20,0.15830508474576271,5.494874024391175
21,0.16745762711864412,5.4754853785038
22,0.15661016949152542,5.442096227407456
23,0.16440677966101694,5.463153064250946
24,0.15915254237288137,5.461744129657745
25,0.14305084745762714,5.453922462463379
26,0.1283050847457627,5.445791691541672
27,0.11389830508474576,5.4414570271968845
28,0.1693220338983051,5.427133971452713
29,0.045593220338983054,5.431855076551438
30,0.03813559322033899,5.41793195605278
