Round,AvgAccuracy,AvgLoss
1,0.4603333333333333,8.816964244842529
2,1.0,8.266566079854964
3,1.0,7.556869524717331
4,1.0,6.599766355752945
5,1.0,5.310567653179168
6,1.0,3.8870225667953493
7,1.0,2.552183970808983
8,1.0,1.5436581462621688
9,1.0,0.9174436658620835
10,1.0,0.5467209599912166
11,0.3366666666666666,8.706055499613285
12,1.0,8.342522077262402
13,1.0,7.721307173371315
14,1.0,6.828409783542156
15,1.0,5.594928048551083
16,0.33799999999999997,8.918202215433121
17,0.5255833333333333,8.55792589187622
18,0.6148333333333333,8.071753334999084
19,0.831,7.3026531636714935
20,0.9434166666666668,6.16660093665123
21,0.9733333333333334,4.602532151341438
22,0.9840833333333333,2.9421398639678955
23,0.99525,1.5535636737942695
24,0.9981666666666663,0.7603300221264362
25,0.9989166666666666,0.38390858452767135
26,0.3665,8.876133316755295
27,0.496,8.356186252832412
28,0.5104166666666667,7.760342085361481
29,0.5588333333333334,6.879557329416275
30,0.7746666666666665,5.664062708616257
31,0.88925,3.954211613535881
32,0.9352499999999998,2.3093685790896417
33,0.9786666666666668,1.0915994055569171
34,0.9968333333333332,0.44066129308193924
35,0.9987499999999997,0.15164881376549602
