Round,AvgAccuracy,AvgLoss
1,0.28575,3.51794454455376
2,0.319,3.5230676651001
3,0.2725,3.48528604507446
4,0.24,3.46803126335144
5,0.269,3.41049435734749
6,0.33425,3.25121881365776
7,0.39775,3.0092403948307
8,0.492,2.5368833065033
9,0.658,1.94404202699661
10,0.8295,1.30837858021259
