Client,Round,Accuracy,Loss
0,1,0.265,3.55275523662567
0,2,0.315,3.5210052728653
0,3,0.31,3.47871589660645
0,4,0.46,3.40588402748108
0,5,0.535,3.15613114833832
0,6,0.47,3.06312334537506
0,7,0.48,2.88980913162231
0,8,0.45,2.62388110160828
0,9,0.68,1.86555206775665
0,10,0.84,1.49670672416687
1,1,0.27,3.5558944940567
1,2,0.35,3.49709379673004
1,3,0.38,3.43222188949585
1,4,0.5,3.37556004524231
1,5,0.46,3.30683624744415
1,6,0.47,3.09316110610962
1,7,0.51,2.78517556190491
1,8,0.495,2.36554992198944
1,9,0.605,2.01237052679062
1,10,0.83,1.45344042778015
2,1,0.24,3.56379008293152
2,2,0.31,3.4992767572403
2,3,0.33,3.44167852401733
2,4,0.485,3.4063972234726
2,5,0.485,3.19643640518188
2,6,0.475,3.11383259296417
2,7,0.56,2.70751249790192
2,8,0.565,2.27290260791779
2,9,0.625,1.89757072925568
2,10,0.815,1.57011014223099
3,1,0.295,3.552769780159
3,2,0.375,3.49514877796173
3,3,0.345,3.40780746936798
3,4,0.445,3.42603027820587
3,5,0.495,3.27424728870392
3,6,0.505,3.06772661209106
3,7,0.47,2.88536536693573
3,8,0.58,2.18924033641815
3,9,0.56,2.07489728927612
3,10,0.86,1.41096413135529
4,1,0.225,3.56519389152527
4,2,0.355,3.48369455337524
4,3,0.285,3.44692313671112
4,4,0.465,3.41565668582916
4,5,0.52,3.17421436309814
4,6,0.5,3.01555502414703
4,7,0.475,2.87327826023102
4,8,0.535,2.32424533367157
4,9,0.65,1.90645354986191
4,10,0.85,1.44622576236725
5,1,0.29,3.5521080493927
5,2,0.42,3.48071694374084
5,3,0.285,3.51901054382324
5,4,0.47,3.43723344802856
5,5,0.455,3.30874717235565
5,6,0.49,3.04911684989929
5,7,0.53,2.74086427688599
5,8,0.475,2.4632431268692
5,9,0.665,1.87187618017197
5,10,0.83,1.42104190587997
6,1,0.215,3.56628787517548
6,2,0.36,3.49383127689362
6,3,0.335,3.46026420593262
6,4,0.53,3.3105663061142
6,5,0.495,3.22123515605927
6,6,0.505,2.97286248207092
6,7,0.48,2.82407557964325
6,8,0.525,2.35429227352142
6,9,0.63,1.91158396005631
6,10,0.835,1.52917075157166
7,1,0.23,3.55837285518646
7,2,0.315,3.4977171421051
7,3,0.285,3.49016630649567
7,4,0.51,3.30362784862518
7,5,0.47,3.2139356136322
7,6,0.56,2.92399477958679
7,7,0.445,2.9456787109375
7,8,0.49,2.39225399494171
7,9,0.67,1.82949894666672
7,10,0.895,1.31581729650497
8,1,0.295,3.54997038841248
8,2,0.33,3.50295925140381
8,3,0.32,3.48239052295685
8,4,0.47,3.37704181671143
8,5,0.43,3.42966425418854
8,6,0.42,3.20528042316437
8,7,0.47,2.81570196151733
8,8,0.545,2.29522168636322
8,9,0.64,1.89745283126831
8,10,0.855,1.51422500610352
9,1,0.23,3.55960607528687
9,2,0.31,3.530646443367
9,3,0.285,3.43304419517517
9,4,0.445,3.44867312908173
9,5,0.465,3.29418790340424
9,6,0.51,3.02614653110504
9,7,0.445,2.9997102022171
9,8,0.525,2.28655886650085
9,9,0.64,1.7789500951767
9,10,0.875,1.45037001371384
10,1,0.2,3.56336116790772
10,2,0.38,3.48408651351929
10,3,0.365,3.48828232288361
10,4,0.43,3.46292841434479
10,5,0.495,3.18261957168579
10,6,0.455,3.18623280525208
10,7,0.49,2.86055827140808
10,8,0.43,2.68164038658142
10,9,0.615,2.05445384979248
10,10,0.845,1.43590581417084
11,1,0.21,3.56705367565155
11,2,0.34,3.48941242694855
11,3,0.275,3.46448838710785
11,4,0.48,3.36615085601807
11,5,0.485,3.28686487674713
11,6,0.455,3.14883649349213
11,7,0.48,2.88073325157166
11,8,0.52,2.44241797924042
11,9,0.655,1.80642765760422
11,10,0.85,1.39670711755753
12,1,0.255,3.55565106868744
12,2,0.315,3.49856328964233
12,3,0.265,3.50404441356659
12,4,0.48,3.38246297836304
12,5,0.53,3.1947226524353
12,6,0.55,2.98577618598938
12,7,0.435,2.91424834728241
12,8,0.545,2.31380867958069
12,9,0.6,1.96268081665039
12,10,0.84,1.41657626628876
13,1,0.22,3.56376719474793
13,2,0.35,3.49350333213806
13,3,0.285,3.49585366249084
13,4,0.495,3.3376179933548
13,5,0.435,3.29987180233002
13,6,0.435,3.19149231910706
13,7,0.485,2.82745456695557
13,8,0.515,2.28838801383972
13,9,0.62,1.91858822107315
13,10,0.855,1.41773420572281
14,1,0.255,3.55906760692596
14,2,0.305,3.52551531791687
14,3,0.29,3.49493563175201
14,4,0.435,3.47090685367584
14,5,0.455,3.2802711725235
14,6,0.43,3.24747109413147
14,7,0.495,2.79916870594025
14,8,0.565,2.32420480251312
14,9,0.585,1.95962429046631
14,10,0.82,1.51019710302353
15,1,0.29,3.5451180934906
15,2,0.33,3.50227046012878
15,3,0.19,3.49440860748291
15,4,0.51,3.35271334648132
15,5,0.41,3.39260196685791
15,6,0.44,3.22349119186401
15,7,0.475,2.87031638622284
15,8,0.495,2.36810183525085
15,9,0.565,1.98414289951324
15,10,0.805,1.44713604450226
16,1,0.225,3.56474387645721
16,2,0.335,3.52630710601807
16,3,0.245,3.49754595756531
16,4,0.46,3.4263254404068
16,5,0.425,3.33838200569153
16,6,0.525,2.99872100353241
16,7,0.525,2.73898482322693
16,8,0.55,2.29199802875519
16,9,0.645,1.97901964187622
16,10,0.83,1.40898233652115
17,1,0.23,3.55255007743835
17,2,0.335,3.51013875007629
17,3,0.265,3.48172080516815
17,4,0.43,3.43382263183594
17,5,0.445,3.30653691291809
17,6,0.485,3.11368060112
17,7,0.5,2.81760692596436
17,8,0.52,2.32532680034637
17,9,0.685,1.74582123756409
17,10,0.805,1.39546316862106
18,1,0.235,3.56350910663605
18,2,0.33,3.51574301719666
18,3,0.32,3.45329892635345
18,4,0.445,3.47939026355743
18,5,0.44,3.35536158084869
18,6,0.465,3.09107089042664
18,7,0.39,3.07269632816315
18,8,0.505,2.45798230171204
18,9,0.57,2.14165222644806
18,10,0.815,1.54434061050415
19,1,0.28,3.55923509597778
19,2,0.305,3.52505838871002
19,3,0.295,3.49463725090027
19,4,0.42,3.45029234886169
19,5,0.53,3.21103763580322
19,6,0.455,3.18410730361938
19,7,0.5,2.74997711181641
19,8,0.555,2.24487006664276
19,9,0.645,1.85633844137192
19,10,0.83,1.49160254001617
