Client,Round,Accuracy,Loss
0,1,0.27,3.58259212970734
0,2,0.355,3.49411606788635
0,3,0.285,3.47627460956574
0,4,0.34,3.31970071792603
0,5,0.46,3.11885821819305
0,6,0.51,2.90352940559387
0,7,0.54,2.62472820281982
0,8,0.535,2.38350462913513
0,9,0.64,2.0652095079422
0,10,0.765,1.5115624666214
1,1,0.31,3.56742537021637
1,2,0.325,3.50938951969147
1,3,0.315,3.45679414272308
1,4,0.37,3.27947735786438
1,5,0.405,3.20114195346832
1,6,0.525,2.89040315151215
1,7,0.53,2.51792657375336
1,8,0.575,2.33269202709198
1,9,0.695,1.74936228990555
1,10,0.745,1.64901846647263
2,1,0.295,3.57419800758362
2,2,0.33,3.51022112369537
2,3,0.355,3.41261553764343
2,4,0.315,3.3940681219101
2,5,0.395,3.22446346282959
2,6,0.455,3.05230247974396
2,7,0.48,2.70367860794067
2,8,0.59,2.24974393844605
2,9,0.645,2.02038496732712
2,10,0.75,1.47718232870102
3,1,0.255,3.57801592350006
3,2,0.31,3.50240540504456
3,3,0.37,3.41131901741028
3,4,0.36,3.33681690692902
3,5,0.445,3.1608829498291
3,6,0.48,2.99332225322723
3,7,0.43,2.91026699542999
3,8,0.605,2.1994925737381
3,9,0.685,1.88133239746094
3,10,0.735,1.63030296564102
4,1,0.265,3.57400751113892
4,2,0.32,3.50960636138916
4,3,0.27,3.4663633108139
4,4,0.35,3.31442546844482
4,5,0.45,3.15159797668457
4,6,0.445,2.96553122997284
4,7,0.46,2.70666682720184
4,8,0.575,2.41554176807404
4,9,0.66,2.01073896884918
4,10,0.81,1.5089493393898
5,1,0.28,3.56932854652405
5,2,0.325,3.50946819782257
5,3,0.39,3.40230393409729
5,4,0.435,3.23448610305786
5,5,0.415,3.23190486431122
5,6,0.43,3.11281359195709
5,7,0.5,2.63168609142303
5,8,0.51,2.41361355781555
5,9,0.655,2.03441846370697
5,10,0.78,1.56590890884399
6,1,0.325,3.57013821601868
6,2,0.36,3.49858331680298
6,3,0.33,3.44369089603424
6,4,0.395,3.27213180065155
6,5,0.45,3.15822517871857
6,6,0.49,2.90538251399994
6,7,0.51,2.65355277061462
6,8,0.56,2.26591396331787
6,9,0.655,1.97159600257874
6,10,0.785,1.41095221042633
7,1,0.275,3.57088720798492
7,2,0.365,3.49568819999695
7,3,0.255,3.48834037780762
7,4,0.34,3.30767452716827
7,5,0.495,3.0988677740097
7,6,0.505,2.87874948978424
7,7,0.485,2.68613696098328
7,8,0.555,2.42569160461426
7,9,0.65,1.99915283918381
7,10,0.785,1.60466057062149
8,1,0.215,3.58159554004669
8,2,0.38,3.48404681682587
8,3,0.335,3.43741381168366
8,4,0.29,3.40861248970032
8,5,0.45,3.2055995464325
8,6,0.435,3.04375088214874
8,7,0.485,2.69566798210144
8,8,0.56,2.34568285942078
8,9,0.65,1.88856869935989
8,10,0.77,1.49934464693069
9,1,0.28,3.57549464702606
9,2,0.34,3.5091804265976
9,3,0.335,3.45545744895935
9,4,0.305,3.39399671554565
9,5,0.385,3.28728902339935
9,6,0.485,2.96078491210938
9,7,0.535,2.55538725852966
9,8,0.6,2.22784638404846
9,9,0.665,2.048135638237
9,10,0.745,1.61386996507645
10,1,0.295,3.56855452060699
10,2,0.325,3.51246964931488
10,3,0.32,3.45210707187653
10,4,0.335,3.30260133743286
10,5,0.44,3.1949565410614
10,6,0.535,2.79896807670593
10,7,0.53,2.58383631706238
10,8,0.59,2.22159767150879
10,9,0.67,1.97488540410995
10,10,0.765,1.67796576023102
11,1,0.255,3.57648766040802
11,2,0.31,3.520676612854
11,3,0.32,3.45456993579865
11,4,0.335,3.36431169509888
11,5,0.48,3.10317873954773
11,6,0.46,3.06508255004883
11,7,0.525,2.56070339679718
11,8,0.525,2.43230581283569
11,9,0.645,1.99394035339355
11,10,0.775,1.5789155960083
12,1,0.3,3.57043325901032
12,2,0.265,3.53443193435669
12,3,0.345,3.40279924869537
12,4,0.33,3.37365067005157
12,5,0.41,3.177894115448
12,6,0.435,3.05215835571289
12,7,0.515,2.67296087741852
12,8,0.565,2.31706285476685
12,9,0.73,1.82398498058319
12,10,0.76,1.66366815567017
13,1,0.29,3.57161557674408
13,2,0.415,3.49032592773438
13,3,0.39,3.38676083087921
13,4,0.365,3.33106565475464
13,5,0.475,3.13227999210358
13,6,0.425,3.09427034854889
13,7,0.52,2.6014050245285
13,8,0.575,2.37838268280029
13,9,0.665,1.90519845485687
13,10,0.755,1.61223185062408
14,1,0.34,3.56147062778473
14,2,0.375,3.48689007759094
14,3,0.33,3.44521045684814
14,4,0.365,3.32076323032379
14,5,0.49,3.0515969991684
14,6,0.495,2.92147302627563
14,7,0.475,2.82578539848328
14,8,0.59,2.25534558296204
14,9,0.705,1.86690229177475
14,10,0.775,1.50870370864868
15,1,0.24,3.58205378055573
15,2,0.325,3.50173163414001
15,3,0.39,3.42806625366211
15,4,0.37,3.2725795507431
15,5,0.41,3.17380237579346
15,6,0.485,2.96685385704041
15,7,0.535,2.65795290470123
15,8,0.545,2.42973792552948
15,9,0.695,1.8432931303978
15,10,0.755,1.57124519348145
16,1,0.29,3.57263898849487
16,2,0.31,3.50785171985626
16,3,0.325,3.46766793727875
16,4,0.345,3.35813975334168
16,5,0.415,3.12731182575226
16,6,0.485,2.93183827400208
16,7,0.49,2.70377588272095
16,8,0.57,2.20397222042084
16,9,0.62,2.03540450334549
16,10,0.765,1.49594110250473
17,1,0.28,3.57375526428223
17,2,0.36,3.49080145359039
17,3,0.37,3.37241196632385
17,4,0.3,3.38158416748047
17,5,0.41,3.20662724971771
17,6,0.41,3.08014559745789
17,7,0.53,2.55304265022278
17,8,0.54,2.39165568351746
17,9,0.69,1.80210775136948
17,10,0.805,1.48853504657745
18,1,0.27,3.57397329807282
18,2,0.355,3.50405585765839
18,3,0.29,3.47418355941772
18,4,0.38,3.31969010829926
18,5,0.425,3.20815122127533
18,6,0.495,2.92976713180542
18,7,0.535,2.61565065383911
18,8,0.535,2.47630560398102
18,9,0.65,1.97039741277695
18,10,0.735,1.63796764612198
19,1,0.3,3.57357215881348
19,2,0.29,3.50071287155151
19,3,0.34,3.42989039421082
19,4,0.37,3.25932657718658
19,5,0.355,3.24444329738617
19,6,0.5,2.96216118335724
19,7,0.48,2.75561690330505
19,8,0.555,2.30389487743378
19,9,0.62,2.17883932590485
19,10,0.775,1.5885129570961
